timestamp,sl,Station Number,Year Month Day Hours Minutes in YYYY,MM,DD,HH24,MI format in Local standard time,Mean global irradiance (over 1 minute) in W/sq m,Minimum 1 second global irradiance (over 1 minute) in W/sq m,Maximum 1 second global irradiance (over 1 minute) in W/sq m,Standard deviation of global irradiance (over 1 minute) in W/sq m,Uncertainty in mean global irradiance (over 1 minute) in W/sq m,Mean direct irradiance (over 1 minute) in W/sq m,Minimum 1 second direct irradiance (over 1 minute) in W/sq m,Maximum 1 second direct irradiance (over 1 minute) in W/sq m,Standard deviation of direct irradiance (over 1 minute) in W/sq m,Uncertainty in mean direct irradiance (over 1 minute) in W/sq m,Mean diffuse irradiance (over 1 minute) in W/sq m,Minimum 1 second diffuse irradiance (over 1 minute) in W/sq m,Maximum 1 second diffuse irradiance (over 1 minute) in W/sq m,Standard deviation of diffuse irradiance (over 1 minute) in W/sq m,Uncertainty in mean diffuse irradiance (over 1 minute) in W/sq m,Mean terrestrial irradiance (over 1 minute) in W/sq m,Minimum 1 second terrestrial irradiance (over 1 minute) in W/sq m,Maximum 1 second terrestrial irradiance (over 1 minute) in W/sq m,Standard deviation of terrestrial irradiance (over 1 minute) in W/sq m,Uncertainty in mean terrestrial irradiance (over 1 minute) in W/sq m,Mean direct horizontal irradiance (over 1 minute) in W/sq m,Minimum 1 second direct horizontal irradiance (over 1 minute) in W/sq m,Maximum 1 second direct horizontal irradiance (over 1 minute) in W/sq m,Standard deviation of direct horizontal irradiance (over 1 minute) in W/sq m,Uncertainty in mean direct horizontal irradiance (over 1 minute) in W/sq m,Sunshine-seconds-96 (duration of DNI exceeding 96 W/sq m over 1 minute) in seconds,Sunshine-seconds-120 (duration of DNI exceeding 120 W/sq m over 1 minute) in seconds,Sunshine-seconds-144 (duration of DNI exceeding 144 W/sq m over 1 minute) in seconds,Zenith distance in degrees
2019-07-20 00:00:00,sl,23034,2019,7,20,0,0,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.45, 287.28, 287.69,   0.09,   5.32,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:01:00,sl,23034,2019,7,20,0,1,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.53, 287.23, 287.83,   0.17,   5.32,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:02:00,sl,23034,2019,7,20,0,2,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.35, 287.15, 287.55,   0.10,   5.34,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:03:00,sl,23034,2019,7,20,0,3,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.38, 286.98, 287.91,   0.28,   5.35,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:04:00,sl,23034,2019,7,20,0,4,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.72, 287.58, 287.92,   0.09,   5.33,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:05:00,sl,23034,2019,7,20,0,5,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.46, 287.19, 287.89,   0.20,   5.34,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:06:00,sl,23034,2019,7,20,0,6,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.72, 287.53, 287.92,   0.09,   5.32,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:07:00,sl,23034,2019,7,20,0,7,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.50, 287.16, 287.89,   0.16,   5.33,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:08:00,sl,23034,2019,7,20,0,8,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.51, 287.16, 287.76,   0.13,   5.32,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:09:00,sl,23034,2019,7,20,0,9,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.81, 287.64, 287.99,   0.09,   5.29,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:10:00,sl,23034,2019,7,20,0,10,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.62, 287.32, 287.88,   0.12,   5.29,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:11:00,sl,23034,2019,7,20,0,11,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.56, 287.34, 287.77,   0.10,   5.28,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:12:00,sl,23034,2019,7,20,0,12,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.52, 287.32, 287.73,   0.11,   5.28,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:13:00,sl,23034,2019,7,20,0,13,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.56, 287.33, 287.79,   0.11,   5.26,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:14:00,sl,23034,2019,7,20,0,14,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.67, 287.41, 287.94,   0.14,   5.24,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:15:00,sl,23034,2019,7,20,0,15,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.74, 287.57, 287.93,   0.09,   5.22,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:16:00,sl,23034,2019,7,20,0,16,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.67, 287.50, 287.87,   0.07,   5.21,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:17:00,sl,23034,2019,7,20,0,17,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.75, 287.41, 288.06,   0.21,   5.21,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:18:00,sl,23034,2019,7,20,0,18,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.63, 287.42, 287.94,   0.13,   5.21,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:19:00,sl,23034,2019,7,20,0,19,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.72, 287.56, 287.88,   0.06,   5.20,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:20:00,sl,23034,2019,7,20,0,20,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.86, 287.58, 287.99,   0.09,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:21:00,sl,23034,2019,7,20,0,21,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.63, 287.47, 287.88,   0.10,   5.20,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:22:00,sl,23034,2019,7,20,0,22,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.85, 287.63, 288.14,   0.10,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:23:00,sl,23034,2019,7,20,0,23,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.83, 287.55, 288.02,   0.11,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:24:00,sl,23034,2019,7,20,0,24,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.83, 287.73, 287.97,   0.06,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:25:00,sl,23034,2019,7,20,0,25,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.77, 287.59, 288.03,   0.10,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:26:00,sl,23034,2019,7,20,0,26,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.84, 287.69, 288.11,   0.11,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:27:00,sl,23034,2019,7,20,0,27,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 288.03, 287.62, 288.44,   0.22,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:28:00,sl,23034,2019,7,20,0,28,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.78, 287.64, 288.03,   0.08,   5.18,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:29:00,sl,23034,2019,7,20,0,29,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.77, 287.58, 288.19,   0.15,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:30:00,sl,23034,2019,7,20,0,30,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.71, 287.54, 287.85,   0.08,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:31:00,sl,23034,2019,7,20,0,31,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.76, 287.57, 287.97,   0.11,   5.18,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:32:00,sl,23034,2019,7,20,0,32,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.80, 287.52, 288.22,   0.20,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:33:00,sl,23034,2019,7,20,0,33,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.74, 287.57, 288.12,   0.14,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:34:00,sl,23034,2019,7,20,0,34,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.82, 287.65, 287.95,   0.07,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:35:00,sl,23034,2019,7,20,0,35,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.94, 287.77, 288.26,   0.13,   5.16,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:36:00,sl,23034,2019,7,20,0,36,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.87, 287.63, 288.15,   0.15,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:37:00,sl,23034,2019,7,20,0,37,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.72, 287.59, 287.86,   0.07,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:38:00,sl,23034,2019,7,20,0,38,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 288.04, 287.82, 288.28,   0.11,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:39:00,sl,23034,2019,7,20,0,39,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.90, 287.71, 288.12,   0.10,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:40:00,sl,23034,2019,7,20,0,40,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.99, 287.82, 288.12,   0.07,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:41:00,sl,23034,2019,7,20,0,41,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.79, 287.51, 288.10,   0.12,   5.18,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:42:00,sl,23034,2019,7,20,0,42,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.90, 287.75, 288.10,   0.08,   5.16,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:43:00,sl,23034,2019,7,20,0,43,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 288.01, 287.78, 288.29,   0.12,   5.15,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:44:00,sl,23034,2019,7,20,0,44,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.69, 287.47, 287.98,   0.14,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:45:00,sl,23034,2019,7,20,0,45,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.88, 287.61, 288.28,   0.16,   5.15,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:46:00,sl,23034,2019,7,20,0,46,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.90, 287.68, 288.10,   0.10,   5.16,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:47:00,sl,23034,2019,7,20,0,47,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.94, 287.76, 288.17,   0.08,   5.16,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:48:00,sl,23034,2019,7,20,0,48,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.82, 287.53, 288.10,   0.15,   5.18,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:49:00,sl,23034,2019,7,20,0,49,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 287.83, 287.67, 288.06,   0.11,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-07-20 00:50:00,sl,23034,2019,7,20,0,50,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 288.04, 287.88, 288.41,   0.12,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
