timestamp,sl,Station Number,Year Month Day Hours Minutes in YYYY,MM,DD,HH24,MI format in Local standard time,Mean global irradiance (over 1 minute) in W/sq m,Minimum 1 second global irradiance (over 1 minute) in W/sq m,Maximum 1 second global irradiance (over 1 minute) in W/sq m,Standard deviation of global irradiance (over 1 minute) in W/sq m,Uncertainty in mean global irradiance (over 1 minute) in W/sq m,Mean direct irradiance (over 1 minute) in W/sq m,Minimum 1 second direct irradiance (over 1 minute) in W/sq m,Maximum 1 second direct irradiance (over 1 minute) in W/sq m,Standard deviation of direct irradiance (over 1 minute) in W/sq m,Uncertainty in mean direct irradiance (over 1 minute) in W/sq m,Mean diffuse irradiance (over 1 minute) in W/sq m,Minimum 1 second diffuse irradiance (over 1 minute) in W/sq m,Maximum 1 second diffuse irradiance (over 1 minute) in W/sq m,Standard deviation of diffuse irradiance (over 1 minute) in W/sq m,Uncertainty in mean diffuse irradiance (over 1 minute) in W/sq m,Mean terrestrial irradiance (over 1 minute) in W/sq m,Minimum 1 second terrestrial irradiance (over 1 minute) in W/sq m,Maximum 1 second terrestrial irradiance (over 1 minute) in W/sq m,Standard deviation of terrestrial irradiance (over 1 minute) in W/sq m,Uncertainty in mean terrestrial irradiance (over 1 minute) in W/sq m,Mean direct horizontal irradiance (over 1 minute) in W/sq m,Minimum 1 second direct horizontal irradiance (over 1 minute) in W/sq m,Maximum 1 second direct horizontal irradiance (over 1 minute) in W/sq m,Standard deviation of direct horizontal irradiance (over 1 minute) in W/sq m,Uncertainty in mean direct horizontal irradiance (over 1 minute) in W/sq m,Sunshine-seconds-96 (duration of DNI exceeding 96 W/sq m over 1 minute) in seconds,Sunshine-seconds-120 (duration of DNI exceeding 120 W/sq m over 1 minute) in seconds,Sunshine-seconds-144 (duration of DNI exceeding 144 W/sq m over 1 minute) in seconds,Zenith distance in degrees
2019-08-14 00:00:00,sl,23034,2019,8,14,0,0,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.70, 266.34, 267.09,   0.22,   4.28,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:01:00,sl,23034,2019,8,14,0,1,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.52, 266.37, 266.65,   0.06,   4.30,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:02:00,sl,23034,2019,8,14,0,2,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.45, 266.31, 266.61,   0.06,   4.31,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:03:00,sl,23034,2019,8,14,0,3,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.35, 266.11, 266.48,   0.09,   4.32,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:04:00,sl,23034,2019,8,14,0,4,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.13, 265.90, 266.37,   0.12,   4.33,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:05:00,sl,23034,2019,8,14,0,5,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.42, 266.22, 266.64,   0.09,   4.32,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:06:00,sl,23034,2019,8,14,0,6,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.64, 266.33, 266.83,   0.12,   4.31,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:07:00,sl,23034,2019,8,14,0,7,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.29, 266.13, 266.53,   0.09,   4.33,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:08:00,sl,23034,2019,8,14,0,8,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.34, 266.06, 266.61,   0.16,   4.33,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:09:00,sl,23034,2019,8,14,0,9,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.36, 266.05, 266.65,   0.16,   4.34,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:10:00,sl,23034,2019,8,14,0,10,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.56, 266.32, 266.77,   0.10,   4.33,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:11:00,sl,23034,2019,8,14,0,11,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.56, 266.35, 266.88,   0.15,   4.34,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:12:00,sl,23034,2019,8,14,0,12,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.79, 266.68, 266.88,   0.05,   4.34,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:13:00,sl,23034,2019,8,14,0,13,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.66, 266.52, 266.85,   0.07,   4.35,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:14:00,sl,23034,2019,8,14,0,14,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.73, 266.50, 266.96,   0.13,   4.36,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:15:00,sl,23034,2019,8,14,0,15,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.90, 266.64, 267.11,   0.13,   4.36,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:16:00,sl,23034,2019,8,14,0,16,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.15, 266.89, 267.45,   0.18,   4.36,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:17:00,sl,23034,2019,8,14,0,17,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.76, 266.56, 267.04,   0.12,   4.43,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:18:00,sl,23034,2019,8,14,0,18,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 266.73, 266.40, 267.04,   0.17,   4.49,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:19:00,sl,23034,2019,8,14,0,19,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.15, 266.88, 267.41,   0.13,   4.52,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:20:00,sl,23034,2019,8,14,0,20,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.21, 266.82, 267.50,   0.18,   4.56,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:21:00,sl,23034,2019,8,14,0,21,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.19, 266.84, 267.58,   0.18,   4.59,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:22:00,sl,23034,2019,8,14,0,22,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.11, 266.68, 267.57,   0.21,   4.61,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:23:00,sl,23034,2019,8,14,0,23,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.25, 267.04, 267.41,   0.08,   4.61,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:24:00,sl,23034,2019,8,14,0,24,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.07, 266.97, 267.18,   0.05,   4.63,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:25:00,sl,23034,2019,8,14,0,25,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.07, 266.91, 267.25,   0.08,   4.65,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:26:00,sl,23034,2019,8,14,0,26,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.00, 266.84, 267.13,   0.06,   4.67,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:27:00,sl,23034,2019,8,14,0,27,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.01, 266.82, 267.19,   0.09,   4.68,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
2019-08-14 00:28:00,sl,23034,2019,8,14,0,28,0.0,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 267.09, 266.96, 267.26,   0.07,   4.69,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
